"ch"	"Twin"	"Year"	"DayBorn"	"DamID"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101011000000000000000000000000000000000000000000"	1	2011	-0.854137013878832	"M040907"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101011000000000000000000000000000000000000000000"	1	2011	-0.854137013878832	"M040907"
"0000000000000000000000000000000000000000001010101010101010101010101010101010101010101010101010110000000000000000000000000000"	1	2011	1.64271949396109	"M041101"
"0000000000000000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2011	1.64271949396109	"M041101"
"0000000000000010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2011	-0.854137013878832	"M041102"
"0000000000000010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2011	-0.854137013878832	"M041102"
"0000000000000000000000000000000000000000101010101010101100000000000000000000000000000000000000000000000000000000000000000000"	1	2011	1.46437260054396	"M041106"
"0000000000000000000000000000000000000000101010101010101100000000000000000000000000000000000000000000000000000000000000000000"	1	2011	1.46437260054396	"M041106"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2011	0.750985026875407	"M041110"
"0000000000000000000000000000000000000000000000101010110000000000000000000000000000000000000000000000000000000000000000000000"	1	2011	1.99941328079537	"M041111"
"0000000000000000000000000000000000000000000000101010110000000000000000000000000000000000000000000000000000000000000000000000"	1	2011	1.99941328079537	"M041111"
"0000000000000010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2011	-0.854137013878832	"M041116"
"0000000000000000001010101010101010101010101010101010101010101010101010101010101010101011000000000000000000000000000000000000"	1	2011	-0.497443227044556	"M101001"
"0000000000000000001010101010101010101010101010101010101010101010101010101010101010101011000000000000000000000000000000000000"	1	2011	-0.497443227044556	"M101001"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101100000000000000000000000000000000000000"	0	2011	0.215944346623994	"M101003"
"0000000000000000000000000010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2011	0.215944346623994	"M101007"
"0000000010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	-1.21083080071311	"M040907"
"0000000010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	-1.21083080071311	"M040907"
"0000000000000000000000000000101010101010101010101010101010101100000000000000000000000000000000000000000000000000000000000000"	1	2012	0.572638133458269	"M041102"
"0000000000000000000000000000101010101010101010101010101010101100000000000000000000000000000000000000000000000000000000000000"	1	2012	0.572638133458269	"M041102"
"0000000000000000001010101010101010101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000"	0	2012	-0.319096333627419	"M041103"
"0000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2012	-0.140749440210281	"M041104"
"0000000000000000001010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	-0.319096333627419	"M041106"
"0000000000000000001010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	-0.319096333627419	"M041106"
"0000000000000000000000000000000010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2012	0.929331920292544	"M041107"
"0000000000000000000000000010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	0.394291240041132	"M041110"
"0000000000000000000000000010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	-0.140749440210281	"M041110"
"0000000000000000001010101010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000"	1	2012	-0.319096333627419	"M041112"
"0000000000000000001010101010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000"	1	2012	-0.319096333627419	"M041112"
"0000000000000000000000000000101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000"	0	2012	0.572638133458269	"M041114"
"0000000000000000000000000000001010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	0.750985026875407	"M041115"
"0000000000000000000000000000001010101010101010101010101000000000000000000000000000000000000000000000000000000000000000000000"	1	2012	0.750985026875407	"M041115"
"0000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2012	-0.497443227044556	"M041116"
"0000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2012	-0.497443227044556	"M041116"
"0000000000000000101010101010101010101010101010101010101010101010101010000000000000000000000000000000000000000000000000000000"	0	2012	-0.497443227044556	"M101001"
"0000000000000000000000000000000000000000001010101010101010101010101010000000000000000000000000000000000000000000000000000000"	0	2012	1.82106638737823	"M101004"
"0000000000000000000000000000000000000000000000101010101010101100000000000000000000000000000000000000000000000000000000000000"	0	2012	2.17776017421251	"M101010"
"0000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.675790120461694	"M040907"
"0000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.675790120461694	"M040907"
"0000000000000000000000000000000000000010101010101010101010101010101010101010101010101010101010100000000000000000000000000000"	0	2013	1.28602570712682	"M041101"
"0000000000000000000000001010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	0.0375974532068564	"M041102"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.0375974532068564	"M041102"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.750985026875407	"M041103"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.750985026875407	"M041103"
"0000000000000000000000000000001010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	0.572638133458269	"M041104"
"0000000000000000000000000000001010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	0.572638133458269	"M041104"
"0000000000000000000000000000000000001010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	1.10767881370968	"M041106"
"0000000000000000000000000000000000001010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	1.10767881370968	"M041106"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2013	0.215944346623994	"M041107"
"0000000000000000000000101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.140749440210281	"M041109"
"0000000000000000000000101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.140749440210281	"M041109"
"0000000000000000000000000000000000000010101010101010101010101011000000000000000000000000000000000000000000000000000000000000"	0	2013	1.28602570712682	"M041110"
"0000000000000000000000000000000000000000000000000000000010101010101011000000000000000000000000000000000000000000000000000000"	0	2013	2.89114774788106	"M041111"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.0375974532068564	"M041112"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.0375974532068564	"M041112"
"0000000000000000000000101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2013	-0.140749440210281	"M041113"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.750985026875407	"M041115"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.750985026875407	"M041115"
"0000000000000000001010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.497443227044556	"M041116"
"0000000000000000001010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.497443227044556	"M041116"
"0000000000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	1.10767881370968	"M041311"
"0000000000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	1.10767881370968	"M041311"
"0000000000000000000000101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.140749440210281	"M041312"
"0000000000000000000000101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2013	-0.140749440210281	"M041312"
"0000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	-1.38917769413024	"M101001"
"0000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	-1.38917769413024	"M101001"
"0000000000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	1.28602570712682	"M101004"
"0000000000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	1.28602570712682	"M101004"
